id	label	matches
http://linkedsdg.org/concept/e6cd95726de88c309584968082c42c95	URBAN SETTLEMENTS	http://metadata.un.org/thesaurus/1006824
http://linkedsdg.org/concept/54036762043ebeed829558214f094e8b	LIVING MARINE RESOURCES	http://metadata.un.org/thesaurus/1003783
http://linkedsdg.org/concept/be2fc5276b3dd245f5afa44928b929a4	GOODS TRANSPORT	http://metadata.un.org/thesaurus/1002712
http://linkedsdg.org/concept/e797d111aeeddd272200b7530289bb9e	TRANSPORT INFRASTRUCTURE	http://eurovoc.europa.eu/1433;http://metadata.un.org/thesaurus/1006657
http://linkedsdg.org/concept/84633f4308ec458d18f7ab1766b8a4e2	PASSENGER TRANSPORT	http://metadata.un.org/thesaurus/1004750
http://linkedsdg.org/concept/9ca6734ad1c4d75d1b849067ff8974f5	SANITARY FACILITIES	http://metadata.un.org/thesaurus/1005699
http://linkedsdg.org/concept/7bcab1e8d34690e6352680aa93c7ac7b	LITERACY	http://metadata.un.org/thesaurus/1003770
http://linkedsdg.org/concept/9e049fdbbd5d3231aca237523c080f98	MATHEMATICS	http://eurovoc.europa.eu/1835;http://metadata.un.org/thesaurus/1003991;http://metadata.un.org/thesaurus/160600
http://linkedsdg.org/concept/3aa74dab76e7146bd0cb84e30b994426	HUMAN RIGHTS INSTITUTIONS	http://metadata.un.org/thesaurus/1002981
http://linkedsdg.org/concept/e9e9b5c2fd8fcd781a3cf68745a64494	RESULTS-BASED MANAGEMENT	http://metadata.un.org/thesaurus/1005527
http://linkedsdg.org/concept/981188ca73bd5dacb0cf558cdf52b8cf	CENSUSES	http://metadata.un.org/thesaurus/1000878
http://linkedsdg.org/concept/dfa2c4bc3f6e3f3972b4579fa5f0b829	DEVELOPMENT PLANNING	http://metadata.un.org/thesaurus/1001628
