id,label,source
http://metadata.un.org/thesaurus#1000327,ANTIMICROBIAL RESISTANCE,UNBIS
http://metadata.un.org/thesaurus#100301,DISEASE PREVENTION AND CONTROL,UNBIS
http://metadata.un.org/thesaurus#1000485,BACTERIOLOGY,UNBIS
http://metadata.un.org/thesaurus#1003063,IMMUNOLOGY,UNBIS
http://metadata.un.org/thesaurus#1004870,PHARMACEUTICALS,UNBIS
http://metadata.un.org/thesaurus#1005097,PREVENTIVE MEDICINE,UNBIS
http://metadata.un.org/thesaurus#1005250,PUBLIC HEALTH,UNBIS
http://metadata.un.org/thesaurus#1000908,CHECHENS,UNBIS
http://metadata.un.org/thesaurus#080301,SPECIAL GROUPS,UNBIS
http://metadata.un.org/thesaurus#1001882,"ECONOMIC, SOCIAL AND CULTURAL RIGHTS",UNBIS
http://metadata.un.org/thesaurus#1002253,FAMILY RIGHTS,UNBIS
http://metadata.un.org/thesaurus#1005201,PROPERTY RIGHTS,UNBIS
http://metadata.un.org/thesaurus#1005555,RIGHT TO CULTURE,UNBIS
http://metadata.un.org/thesaurus#1005557,RIGHT TO DRINKING WATER,UNBIS
http://metadata.un.org/thesaurus#1005558,RIGHT TO EDUCATION,UNBIS
http://metadata.un.org/thesaurus#1005559,RIGHT TO FOOD,UNBIS
http://metadata.un.org/thesaurus#1005560,RIGHT TO HEALTH,UNBIS
http://metadata.un.org/thesaurus#1005561,RIGHT TO HOUSING,UNBIS
http://metadata.un.org/thesaurus#1005568,RIGHT TO SECURITY OF TENURE,UNBIS
http://metadata.un.org/thesaurus#1005571,RIGHT TO WORK,UNBIS
http://metadata.un.org/thesaurus#1005573,RIGHTS OF THE CHILD,UNBIS
http://metadata.un.org/thesaurus#1006607,TRADE UNION RIGHTS,UNBIS
http://metadata.un.org/thesaurus#1007035,WOMEN'S RIGHTS,UNBIS
http://metadata.un.org/thesaurus#1002619,GENERAL DEBATE,UNBIS
http://metadata.un.org/thesaurus#180701,CONFERENCES,UNBIS
http://metadata.un.org/thesaurus#1002676,"GERMANY, FEDERAL REPUBLIC OF",UNBIS
http://metadata.un.org/thesaurus#1006996,WESTERN EUROPE,UNBIS
http://metadata.un.org/thesaurus#170400,EUROPE,UNBIS
http://metadata.un.org/thesaurus#1002670,GERMAN DEMOCRATIC REPUBLIC,UNBIS
http://metadata.un.org/thesaurus#1002672,GERMAN REUNIFICATION,UNBIS
